,Unnamed: 0,job_title,company_name,location,salary,description,description_,ClusterLabel_Aff_Prop,ClusterLabel_kmeans,stipend
38,39,Data Analytics,Algowire Trading Technologies Private Limited,Work From Home,10000-20000,"Selected intern's day-to-day responsibilities include:
 
 1. Improving/enhancing the models for pricing
 2. Presenting complex statistical concepts and research results to non-statistical audience",improving/enhancing models pricing presenting complex statistical concepts research results non-statistical audience ,8,4,15000.0
39,40,Research - Images,Nettv4u,Work From Home,5000,"Selected intern's day-to-day responsibilities include: 
 
 1. We need Interns who can find Indian celebrities (Can be actors/actress/Dubbing artist/Anchors etc. We need the Serials & Shows that we dont have
 2. We need their exact name and images in a word file and submitted to us
 3. You will have to research for 1000 celebs and give us in 1 month.
 4. Need to be sure we the names we give you those exact celebs you will find an HD image
 Do not apply if you are already working with us in other jobs",need interns find indian celebrities (can actors/actress/dubbing artist/anchors etc. need serials & shows dont need exact name images word file submitted us research 1000 celebs give us 1 month. need sure names give exact celebs find hd image apply already working us jobs ,2,1,5000.0
40,41,Research - Images,Nettv4u,Work From Home,5000,"Selected intern's day-to-day responsibilities include: 
 
 1. We need Interns who can find Indian celebrities (Can be actors/actress/Dubbing artist/Anchors etc. We need the Serials & Shows that we dont have
 2. We need their exact name and images in a word file and submitted to us
 3. You will have to research for 1000 celebs and give us in 1 month.
 4. Need to be sure we the names we give you those exact celebs you will find an HD image
 Do not apply if you are already working with us in other jobs",need interns find indian celebrities (can actors/actress/dubbing artist/anchors etc. need serials & shows dont need exact name images word file submitted us research 1000 celebs give us 1 month. need sure names give exact celebs find hd image apply already working us jobs ,2,1,5000.0
41,42,Machine Learning,KUKbit Software Lab,Pune,4000,"Selected intern's day-to-day responsibilities include: 
 
 1. Analyzing data, developing predictive algorithms, designing, and recommending code algorithms using
 advanced machine learning algorithms
 2. Designing, developing, and testing sales recommendation solutions
 3. Performing explanatory data analysis
 4. Preparing and analyzing data & identifying patterns","analyzing data, developing predictive algorithms, designing, recommending code algorithms using advanced machine learning algorithms designing, developing, testing sales recommendation solutions performing explanatory data analysis preparing analyzing data & identifying patterns ",3,4,4000.0
42,43,Business Analytics,Stirring Minds,Work From Home,5000-10000,"Selected intern's day-to-day responsibilities include:
 
 1. Working on analyzing companies' data and driving meaning out of the data after plotting the same across dashboards
 2. Work using various software tools that we use to measure our KPIs",working analyzing companies' data driving meaning data plotting across dashboards work using various software tools use measure kpis ,14,4,7500.0
43,44,Data Analytics,Nuclei Technologies,Work From Home,2000-5000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on assisting in curating an online course
 2. Work on solving problems faced by students
 3. Work on understanding the implementation of this course",work assisting curating online course work solving problems faced students work understanding implementation course ,15,5,3500.0
44,45,Machine Learning,Nuclei Technologies,Work From Home,2000-5000,"Selected intern's day-to-day responsibilities include:
 
 1. Work on assisting in curating an online course for machine learning
 2. Work on solving problems faced by students as a teaching assistant
 3. Work on understanding the implementation of the course",work assisting curating online course machine learning work solving problems faced students teaching assistant work understanding implementation course ,15,5,3500.0
45,46,Data Analytics & Social Media Marketing,ONergy,Kolkata,8000,"Selected intern's day-to-day responsibilities include: 
 
 1. Analyzing various databases
 2. Shortlisting target audiences
 3. Working on WhatsApp and social media marketing of the shortlisted databases
 4. Researching different customer segments
 5. Promoting COVID care products",analyzing various databases shortlisting target audiences working whatsapp social media marketing shortlisted databases researching different customer segments promoting covid care products ,6,3,8000.0
46,47,Artificial Intelligence and Machine Learning,Oye Busy Technologies Private Limited,Work From Home,3000,"Selected intern's day-to-day responsibilities include working on training, fine-tuning, and deploying NLP and Computer Vision algorithms for text to speech, speech to text, scene description, visual question answering, and other ML tasks.","selected intern's day-to-day responsibilities include working training, fine-tuning, deploying nlp computer vision algorithms text speech, speech text, scene description, visual question answering, ml tasks. ",7,7,3000.0
47,48,Business Analytics,Only4rental.in,Work From Home,2000,"- Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.
 - Leading ongoing reviews of business processes and developing optimization strategies.
 - Staying up-to-date on the latest process and IT advancements to automate and modernize systems.
 - Conducting meetings and presentations to share ideas and findings.
 - Performing requirements analysis.
 - Documenting and communicating the results of your efforts.
 - Effectively communicating your insights and plans to cross-functional team members and management.
 - Gathering critical information from meetings with various stakeholders and producing useful reports.
 - Working closely with clients, technicians, and managerial staff.
 - Providing leadership, training, coaching, and guidance to junior staff.
 - Allocating resources and maintaining cost efficiency.
 - Ensuring solutions meet business needs and requirements.
 - Performing user acceptance testing.
 - Managing projects, developing project plans, and monitoring performance.
 - Updating, implementing and maintaining procedures.
 - Prioritizing initiatives based on business needs and requirements.
 - Serving as a liaison between stakeholders and users.
 - Managing competing resources and priorities.
 - Monitoring deliverable's and ensuring timely completion of projects.","- evaluating business processes, anticipating requirements, uncovering areas improvement, developing implementing solutions. - leading ongoing reviews business processes developing optimization strategies. - staying up-to-date latest process advancements automate modernize systems. - conducting meetings presentations share ideas findings. - performing requirements analysis. - documenting communicating results efforts. - effectively communicating insights plans cross-functional team members management. - gathering critical information meetings various stakeholders producing useful reports. - working closely clients, technicians, managerial staff. - providing leadership, training, coaching, guidance junior staff. - allocating resources maintaining cost efficiency. - ensuring solutions meet business needs requirements. - performing user acceptance testing. - managing projects, developing project plans, monitoring performance. - updating, implementing maintaining procedures. - prioritizing initiatives based business needs requirements. - serving liaison stakeholders users. - managing competing resources priorities. - monitoring deliverable's ensuring timely completion projects. ",15,5,2000.0
48,49,Computer Vision/Machine Learning,Kontiki Innovation Labs,Work From Home,10000,"Selected intern's day-to-day responsibilities include: 
 
 1. Developing prototypes using Human Pose models
 2. Working on Python, OpenCV, TensorFlow, Postnet, etc
 3. Researching, analyzing and coding in ML; Integrate them with existing apps","developing prototypes using human pose models working python, opencv, tensorflow, postnet, etc researching, analyzing coding ml; integrate existing apps ",7,7,10000.0
49,50,Risk Analytics,Open,Bangalore,30000,"Selected intern's day to day responsibilities include:
 
 1. Monitor online and offline transactions and report patterns of fraudulent activities
 2. Work on merchant risk assessment
 3. Work closely with other teams, such as customer support, to better address risk related queries of end-users
 
 Education:
 MBA in Operations (must)
 (This is a fulltime role, only those who completed an MBA can apply).
 
 Experience:
 Fresher- 6 months 
 Location :
 RGA Techpark, Bangalore","selected intern's day day responsibilities include: monitor online offline transactions report patterns fraudulent activities work merchant risk assessment work closely teams, customer support, better address risk related queries end-users education: mba operations (mus(this fulltime role, completed mba apply). experience: fresher- 6 months location : rga techpark, bangalore ",4,1,30000.0
